Episode,Min_AoI,p_d,PRR,Actor_Loss,Critic_Loss
102,36.4534,0.7364,0.0487,10.4900,0.0489
103,36.5708,0.7364,0.0487,10.4925,0.0621
104,36.4095,0.7364,0.0490,10.5055,0.0589
105,36.3693,0.7364,0.0493,10.5186,0.0603
106,36.3106,0.7364,0.0494,10.5258,0.0611
107,36.3841,0.7364,0.0489,10.5351,0.0607
108,36.4332,0.7364,0.0484,10.5483,0.0474
109,36.3347,0.7364,0.0493,10.5535,0.0575
110,36.2488,0.7364,0.0495,10.5459,0.0543
111,36.3107,0.7364,0.0482,10.5273,0.0634
112,36.2840,0.7364,0.0490,10.4986,0.0629
113,36.4322,0.7364,0.0485,10.4722,0.0581
114,36.2932,0.7364,0.0481,10.4489,0.0669
115,36.3775,0.7364,0.0481,10.4278,0.0680
116,36.4213,0.7364,0.0490,10.4223,0.0658
117,36.2310,0.7364,0.0499,10.4224,0.0630
118,36.2548,0.7364,0.0487,10.4271,0.0545
119,36.5269,0.7364,0.0478,10.4429,0.0692
120,36.2639,0.7364,0.0494,10.4596,0.0654
121,36.3438,0.7364,0.0484,10.4755,0.0730
122,36.3476,0.7364,0.0478,10.4880,0.0697
123,36.3084,0.7364,0.0484,10.4960,0.0659
124,36.3487,0.7364,0.0498,10.4954,0.0606
125,36.2849,0.7364,0.0474,10.4862,0.0660
126,36.4260,0.7364,0.0483,10.4714,0.0788
127,36.2832,0.7364,0.0481,10.4437,0.0715
128,36.6074,0.7364,0.0472,10.4147,0.0595
129,36.5584,0.7364,0.0488,10.3971,0.0723
130,36.3336,0.7364,0.0484,10.3876,0.0770
131,36.3099,0.7364,0.0487,10.3803,0.0844
132,36.4118,0.7364,0.0486,10.3805,0.0682
133,36.2955,0.7364,0.0488,10.3738,0.0913
134,36.1607,0.7364,0.0485,10.3624,0.1149
135,36.3711,0.7364,0.0494,10.3584,0.1011
136,36.4993,0.7364,0.0494,10.3595,0.0766
137,36.2145,0.7364,0.0481,10.3531,0.0977
138,36.3934,0.7364,0.0494,10.3343,0.0963
139,36.2421,0.7364,0.0498,10.3144,0.0966
140,36.2833,0.7364,0.0491,10.3156,0.0930
141,36.5834,0.7364,0.0485,10.3205,0.0824
142,36.1753,0.7364,0.0500,10.3306,0.0927
143,36.2809,0.7364,0.0491,10.3265,0.0885
144,36.4046,0.7364,0.0475,10.3218,0.1028
145,36.4674,0.7364,0.0494,10.3153,0.1028
146,36.2859,0.7364,0.0483,10.3170,0.0819
147,36.3243,0.7364,0.0500,10.3109,0.0836
148,36.1931,0.7364,0.0489,10.3036,0.0936
149,36.2152,0.7364,0.0488,10.3040,0.0766
