Episode,Min_AoI,p_d,PRR
187,117.2843,0.7228,0.0181
188,113.0433,0.6661,0.0152
189,112.2866,0.6806,0.0132
190,110.2615,0.6016,0.0257
191,115.3234,0.6678,0.0147
192,111.8127,0.7150,0.0173
193,116.4218,0.7220,0.0147
194,107.3452,0.6308,0.0186
195,118.6721,0.6549,0.0150
196,109.1430,0.7117,0.0256
197,114.7293,0.6979,0.0171
198,108.2893,0.6882,0.0222
199,112.1253,0.6553,0.0202
200,114.8275,0.7116,0.0273
201,112.2242,0.6878,0.0155
202,113.6653,0.7253,0.0193
203,110.8410,0.7174,0.0168
204,111.0927,0.7167,0.0187
205,116.8229,0.7203,0.0255
206,109.3844,0.7238,0.0183
207,113.4259,0.6765,0.0233
208,108.1229,0.6785,0.0136
209,113.0860,0.7244,0.0132
210,116.0148,0.7032,0.0220
211,103.9307,0.7266,0.0186
212,115.4897,0.7193,0.0140
213,116.1032,0.7098,0.0146
214,105.9104,0.5570,0.0226
215,110.1496,0.6500,0.0279
216,106.9269,0.6962,0.0259
217,110.1728,0.6652,0.0152
218,110.9943,0.6820,0.0281
219,110.1420,0.5569,0.0461
220,114.7796,0.5596,0.0207
221,111.1490,0.6364,0.0151
222,115.4870,0.5753,0.0168
223,110.4615,0.6610,0.0194
224,108.4804,0.5810,0.0332
225,110.4061,0.6114,0.0267
226,111.8592,0.7258,0.0135
227,111.8687,0.6373,0.0149
228,112.9640,0.6169,0.0248
229,116.6766,0.5664,0.0310
230,116.9465,0.6675,0.0219
231,107.0601,0.6943,0.0149
232,110.6497,0.5223,0.0273
233,108.2839,0.7043,0.0281
234,111.6701,0.6719,0.0212
235,111.7055,0.7155,0.0164
236,113.0196,0.7280,0.0176
237,109.1399,0.7202,0.0193
238,115.2005,0.7256,0.0150
239,115.7362,0.7149,0.0137
240,116.0720,0.6862,0.0149
241,110.4819,0.6718,0.0186
242,109.3395,0.6557,0.0173
243,109.6972,0.6321,0.0226
244,119.0835,0.6555,0.0230
245,112.3479,0.7007,0.0165
246,117.0270,0.7285,0.0127
247,106.5901,0.7233,0.0176
248,110.9268,0.6767,0.0277
249,117.4932,0.7216,0.0144
250,111.7418,0.7256,0.0160
251,110.7400,0.6232,0.0162
252,108.2401,0.6771,0.0143
253,113.9735,0.6884,0.0166
254,113.7688,0.6951,0.0207
255,116.8651,0.5154,0.0252
256,110.8589,0.6369,0.0180
257,112.8738,0.6279,0.0145
258,113.4069,0.5183,0.0205
259,113.0345,0.7034,0.0202
260,111.5098,0.5800,0.0236
261,116.9635,0.6935,0.0140
262,109.7291,0.7001,0.0279
263,103.7016,0.6594,0.0305
264,107.4762,0.7120,0.0235
265,108.9340,0.6246,0.0144
266,106.0746,0.7019,0.0209
267,103.6210,0.6734,0.0135
268,115.3643,0.6042,0.0273
269,114.3382,0.6820,0.0162
270,111.0090,0.7191,0.0128
271,106.2757,0.6824,0.0200
272,112.1400,0.6325,0.0222
273,115.4067,0.6892,0.0252
274,113.5480,0.7159,0.0136
275,108.8032,0.6027,0.0172
276,116.3043,0.7139,0.0188
277,105.8592,0.5814,0.0154
278,104.0908,0.6785,0.0183
279,114.4151,0.6842,0.0186
280,114.5603,0.5479,0.0185
281,112.4789,0.7043,0.0144
282,117.0313,0.6579,0.0200
283,108.8365,0.7114,0.0203
284,111.8742,0.6580,0.0299
285,113.5382,0.7262,0.0232
286,108.7366,0.6289,0.0218
287,111.0441,0.6281,0.0357
288,107.2220,0.7182,0.0133
289,111.2898,0.7097,0.0132
290,114.8236,0.5747,0.0222
291,116.2934,0.7019,0.0275
292,115.5622,0.7056,0.0281
293,115.6218,0.7071,0.0224
294,109.3129,0.6122,0.0357
295,111.4191,0.7288,0.0145
296,111.7462,0.7048,0.0210
297,108.5559,0.5669,0.0270
298,114.8700,0.7017,0.0149
299,115.6078,0.5281,0.0354
300,108.5941,0.7277,0.0252
301,113.7633,0.7151,0.0170
302,111.1473,0.6016,0.0185
303,118.3167,0.7269,0.0183
304,113.9747,0.5658,0.0229
305,116.0450,0.5760,0.0198
306,110.8718,0.7077,0.0171
307,100.9403,0.5518,0.0407
308,119.3349,0.6181,0.0162
309,112.5514,0.5260,0.0233
310,114.9515,0.6774,0.0204
311,115.6342,0.7194,0.0190
312,109.0183,0.7030,0.0135
313,115.2760,0.7279,0.0140
314,111.7113,0.5604,0.0317
315,114.0644,0.6995,0.0294
316,111.3664,0.7251,0.0163
317,112.4078,0.6975,0.0169
318,107.5976,0.6804,0.0169
319,110.3043,0.6447,0.0264
320,113.9476,0.6710,0.0153
321,111.5839,0.7256,0.0220
322,116.1005,0.6938,0.0132
323,110.8646,0.7270,0.0219
324,113.2667,0.6549,0.0161
325,115.2576,0.7194,0.0266
326,110.7046,0.6187,0.0153
327,113.6729,0.7002,0.0177
328,106.5163,0.6749,0.0290
329,111.8393,0.6883,0.0197
330,114.8356,0.6773,0.0208
331,112.2779,0.5710,0.0160
332,113.4528,0.6657,0.0299
333,106.9137,0.7069,0.0173
334,111.8007,0.6324,0.0225
335,111.3857,0.7096,0.0129
336,113.3276,0.6391,0.0150
337,110.2531,0.7073,0.0287
338,110.5501,0.6174,0.0149
339,116.1865,0.6283,0.0295
340,118.9769,0.6759,0.0206
341,107.5385,0.7182,0.0130
342,108.0683,0.6249,0.0223
343,116.8748,0.7218,0.0143
344,115.7431,0.7046,0.0254
345,107.0825,0.6999,0.0283
346,104.9963,0.6989,0.0194
347,114.8153,0.7173,0.0160
348,108.2298,0.7224,0.0211
349,116.4794,0.6110,0.0208
350,107.8333,0.5559,0.0361
351,116.9018,0.7286,0.0142
352,106.9837,0.6838,0.0158
353,112.1020,0.7050,0.0144
354,114.6738,0.7006,0.0261
355,111.9927,0.6487,0.0145
356,110.8079,0.7128,0.0168
357,112.9245,0.5486,0.0186
358,114.6188,0.7132,0.0215
359,110.9534,0.6077,0.0158
360,115.5128,0.6263,0.0190
361,110.9622,0.5297,0.0195
362,114.3513,0.7083,0.0173
363,111.0295,0.6771,0.0256
364,110.1912,0.5426,0.0295
365,106.3964,0.5896,0.0254
366,112.7873,0.6634,0.0136
367,115.7604,0.6842,0.0141
368,114.3544,0.6734,0.0220
369,110.5435,0.7247,0.0148
370,115.6519,0.6502,0.0149
371,114.0786,0.6999,0.0214
372,108.8840,0.6067,0.0179
373,115.4915,0.6404,0.0150
374,112.2879,0.5301,0.0246
375,118.2297,0.7105,0.0130
376,108.3972,0.6660,0.0155
