Episode,Min_AoI,p_d,PRR
819,113.5658,0.6669,0.0285
820,111.4348,0.5934,0.0157
821,111.1976,0.7031,0.0203
822,114.6917,0.7165,0.0210
823,107.4161,0.7094,0.0224
824,111.3141,0.6290,0.0274
825,111.3381,0.6603,0.0215
826,104.2327,0.6910,0.0190
827,109.0581,0.7140,0.0206
828,116.0900,0.5940,0.0215
829,114.2728,0.7126,0.0171
830,111.8108,0.7218,0.0233
831,114.3272,0.5173,0.0281
832,111.2499,0.6143,0.0244
833,110.7445,0.7232,0.0151
834,109.0629,0.7141,0.0251
835,115.4986,0.5658,0.0346
836,111.7033,0.6112,0.0180
837,112.1564,0.6836,0.0146
838,110.9917,0.5399,0.0400
839,102.0602,0.6580,0.0202
840,114.7911,0.7202,0.0200
841,113.7510,0.6896,0.0172
842,117.5001,0.7237,0.0143
843,113.8093,0.7237,0.0160
844,112.9131,0.7132,0.0128
845,116.0771,0.5406,0.0161
846,113.5403,0.7151,0.0263
847,117.8186,0.7241,0.0174
848,107.8758,0.6617,0.0135
849,115.0947,0.6145,0.0377
850,118.1522,0.6569,0.0169
851,113.8025,0.5924,0.0264
852,113.4427,0.6485,0.0190
853,107.7221,0.5464,0.0199
854,117.6040,0.6923,0.0143
855,111.5504,0.6889,0.0299
856,114.5565,0.7260,0.0207
857,112.6965,0.6662,0.0158
858,112.7214,0.7121,0.0242
859,114.0246,0.7243,0.0216
860,112.2583,0.5386,0.0253
861,113.8922,0.7287,0.0130
862,106.5511,0.7057,0.0161
863,111.8665,0.7021,0.0244
864,106.0363,0.6869,0.0234
865,107.2787,0.7187,0.0263
866,105.1873,0.6927,0.0263
867,110.7509,0.5118,0.0256
868,109.0289,0.6356,0.0196
869,111.5058,0.5431,0.0236
870,117.1309,0.7278,0.0149
871,118.7098,0.6973,0.0196
872,109.9988,0.6760,0.0135
873,116.9993,0.7047,0.0160
874,116.2807,0.7278,0.0196
875,118.8189,0.6786,0.0241
876,118.1140,0.7189,0.0133
877,107.0217,0.6037,0.0149
878,109.4574,0.7214,0.0196
879,107.9382,0.7228,0.0155
880,113.9087,0.6567,0.0171
881,114.3492,0.7123,0.0270
882,109.0580,0.5685,0.0226
883,106.7978,0.7290,0.0142
884,115.7239,0.6629,0.0203
885,117.7454,0.7228,0.0227
886,108.7607,0.7256,0.0148
887,112.1845,0.7172,0.0144
888,112.5159,0.7136,0.0242
889,114.7236,0.6143,0.0300
890,117.0482,0.5266,0.0282
891,113.7503,0.7199,0.0131
892,114.3530,0.6129,0.0202
893,114.9502,0.7118,0.0166
894,115.3493,0.7225,0.0129
895,111.5230,0.6760,0.0157
896,113.3108,0.6403,0.0200
897,108.9311,0.7009,0.0150
898,102.3341,0.6346,0.0324
899,110.0957,0.6956,0.0131
900,116.5822,0.7281,0.0124
901,118.1840,0.6013,0.0217
902,113.9277,0.7128,0.0185
903,108.8503,0.6797,0.0209
904,113.6736,0.6135,0.0142
905,118.4350,0.7001,0.0128
906,117.9048,0.7119,0.0260
907,109.8656,0.5099,0.0168
908,113.7987,0.6395,0.0153
909,115.5605,0.7215,0.0265
910,103.9475,0.6372,0.0187
911,114.1255,0.6752,0.0194
912,111.4333,0.6648,0.0145
913,119.5612,0.6433,0.0140
914,118.3864,0.5897,0.0254
915,108.1353,0.7159,0.0157
916,109.3308,0.7199,0.0165
917,112.5771,0.6982,0.0183
918,106.2312,0.5365,0.0361
919,112.3130,0.5665,0.0319
920,115.2080,0.6848,0.0203
921,102.6552,0.5170,0.0226
922,119.2950,0.7219,0.0139
923,116.8077,0.7126,0.0130
924,112.5008,0.7166,0.0230
925,115.0430,0.7256,0.0260
926,111.2817,0.5997,0.0153
927,112.6101,0.7284,0.0242
928,107.1381,0.5271,0.0366
929,112.7749,0.6414,0.0143
930,116.5657,0.7085,0.0248
931,109.4171,0.5123,0.0231
932,109.8951,0.6973,0.0290
933,111.7813,0.5358,0.0182
934,106.9719,0.6583,0.0144
935,118.0312,0.5422,0.0237
936,120.1858,0.7099,0.0149
937,119.5614,0.7215,0.0175
938,118.7821,0.6474,0.0252
939,112.3730,0.5500,0.0207
940,115.2798,0.6828,0.0132
941,106.7308,0.6872,0.0271
942,114.5010,0.6738,0.0230
943,110.1283,0.6918,0.0197
944,113.2270,0.6836,0.0164
945,115.7449,0.7038,0.0244
946,108.0199,0.5722,0.0180
947,115.3189,0.7210,0.0128
948,118.4433,0.6199,0.0335
949,111.7976,0.7195,0.0126
950,111.7409,0.7233,0.0128
951,112.3269,0.6872,0.0150
952,101.9509,0.5776,0.0171
953,110.5691,0.6270,0.0369
954,116.5575,0.5558,0.0369
955,110.3288,0.5273,0.0196
956,113.0916,0.7230,0.0179
957,111.7929,0.7140,0.0136
958,116.1670,0.7091,0.0202
959,113.0836,0.6330,0.0160
960,114.4037,0.6056,0.0147
961,110.6779,0.6721,0.0291
962,111.3119,0.7291,0.0161
963,116.2151,0.5574,0.0251
964,112.5189,0.5446,0.0418
965,110.3498,0.6364,0.0190
966,112.8162,0.7273,0.0181
967,109.5161,0.7008,0.0155
968,115.1017,0.6880,0.0147
969,115.9248,0.6722,0.0281
970,113.1392,0.7176,0.0173
971,114.0110,0.7196,0.0143
972,114.0168,0.7272,0.0232
973,117.1266,0.6871,0.0175
974,104.9149,0.7191,0.0257
975,113.7754,0.6850,0.0258
976,111.1604,0.6946,0.0258
977,108.2898,0.5446,0.0180
978,106.0513,0.6496,0.0194
979,109.0182,0.7149,0.0214
980,103.0075,0.6467,0.0143
981,106.1591,0.6708,0.0160
982,119.3004,0.7245,0.0215
983,114.7085,0.6735,0.0146
984,111.5699,0.6283,0.0169
985,111.7824,0.7165,0.0129
986,111.8549,0.5631,0.0173
987,118.1112,0.7033,0.0148
988,109.8089,0.6827,0.0184
989,112.0702,0.7257,0.0261
990,110.8957,0.6645,0.0159
991,105.7278,0.6432,0.0254
992,112.7923,0.7135,0.0211
993,112.7978,0.6584,0.0136
994,114.1931,0.6950,0.0140
995,110.4006,0.6869,0.0204
996,115.6456,0.6426,0.0348
997,108.6413,0.7200,0.0205
998,107.0612,0.6364,0.0208
999,113.2987,0.5099,0.0493
1000,108.5905,0.7184,0.0162
1001,115.1707,0.7172,0.0132
1002,114.8682,0.6642,0.0247
1003,109.9432,0.5543,0.0320
1004,112.7620,0.7140,0.0185
1005,112.2809,0.7060,0.0157
1006,111.0957,0.5084,0.0473
1007,107.7674,0.6886,0.0202
1008,109.9762,0.7019,0.0158
1009,113.4238,0.5928,0.0308
1010,116.1802,0.6156,0.0146
1011,110.6203,0.7022,0.0158
1012,107.1594,0.5621,0.0187
1013,107.3461,0.6356,0.0271
1014,108.0655,0.7184,0.0152
1015,106.5141,0.5609,0.0215
1016,108.8828,0.6768,0.0136
1017,113.6185,0.7180,0.0179
1018,115.1444,0.6668,0.0150
1019,109.2239,0.6963,0.0248
1020,108.3488,0.7229,0.0154
1021,103.1802,0.7264,0.0257
1022,105.4439,0.6722,0.0136
1023,112.8299,0.7126,0.0127
1024,107.9994,0.6925,0.0158
1025,114.5840,0.7108,0.0280
1026,112.9653,0.5687,0.0294
1027,110.5932,0.7073,0.0139
1028,117.4455,0.7141,0.0274
1029,110.7783,0.7172,0.0232
1030,115.2849,0.6100,0.0220
1031,106.3747,0.6043,0.0212
1032,111.8102,0.7242,0.0131
1033,114.2352,0.7080,0.0184
1034,113.5918,0.5691,0.0228
1035,106.6075,0.7288,0.0264
1036,108.8271,0.6449,0.0214
1037,115.2611,0.7187,0.0152
1038,106.9533,0.5903,0.0415
1039,104.9788,0.6419,0.0285
1040,109.9022,0.5472,0.0166
1041,113.6992,0.6569,0.0197
1042,113.8883,0.6913,0.0168
1043,108.9643,0.7230,0.0200
1044,108.5934,0.6996,0.0278
1045,109.5122,0.6190,0.0233
1046,113.8704,0.7067,0.0154
1047,116.7931,0.7206,0.0208
1048,113.8882,0.7189,0.0201
1049,116.7245,0.6208,0.0164
1050,106.5596,0.7204,0.0170
1051,112.8703,0.5454,0.0249
1052,117.6716,0.6578,0.0170
1053,113.6675,0.6851,0.0156
1054,110.4978,0.6251,0.0314
1055,116.1536,0.6984,0.0183
1056,114.4797,0.7217,0.0133
1057,114.1872,0.6926,0.0241
1058,109.6629,0.5792,0.0345
1059,114.0838,0.7231,0.0251
1060,109.8710,0.7201,0.0130
1061,112.3272,0.5967,0.0230
1062,103.9348,0.7287,0.0156
1063,117.7056,0.6654,0.0226
1064,116.1268,0.7285,0.0179
1065,107.5463,0.7143,0.0164
1066,116.4880,0.7232,0.0147
1067,117.4073,0.6000,0.0161
1068,116.6988,0.6701,0.0181
1069,111.9572,0.6728,0.0208
1070,109.9104,0.7190,0.0148
1071,114.8123,0.6472,0.0199
1072,105.9943,0.7222,0.0147
1073,118.1726,0.7017,0.0215
1074,115.1983,0.6554,0.0293
1075,103.9772,0.5923,0.0193
1076,118.7333,0.6601,0.0267
1077,114.1768,0.6438,0.0166
1078,112.2090,0.5750,0.0220
1079,114.8072,0.6583,0.0151
1080,108.0318,0.6813,0.0189
1081,113.0045,0.7253,0.0187
1082,111.7885,0.5239,0.0539
1083,115.6949,0.7273,0.0229
1084,115.7118,0.7231,0.0221
1085,110.4218,0.5657,0.0175
1086,110.8971,0.6749,0.0319
1087,109.8607,0.6400,0.0195
1088,110.4504,0.6961,0.0131
1089,115.7238,0.7269,0.0137
1090,108.4595,0.5243,0.0237
1091,115.4776,0.6954,0.0145
1092,112.6771,0.7261,0.0124
1093,110.4575,0.6935,0.0152
1094,117.0850,0.7123,0.0169
1095,115.4185,0.7108,0.0246
1096,109.6725,0.7264,0.0129
1097,106.8310,0.7244,0.0224
1098,103.0025,0.7149,0.0132
1099,113.7843,0.5747,0.0186
1100,113.3954,0.7205,0.0256
1101,116.6181,0.5534,0.0453
1102,115.8319,0.5442,0.0459
1103,109.7278,0.6153,0.0185
1104,111.9742,0.7275,0.0135
1105,107.5335,0.6001,0.0368
1106,112.5013,0.7273,0.0270
1107,105.8805,0.7037,0.0290
1108,110.8113,0.7236,0.0207
1109,114.4705,0.7190,0.0179
1110,110.0250,0.6856,0.0205
1111,109.3891,0.7157,0.0155
1112,115.2171,0.6877,0.0257
1113,117.2577,0.6355,0.0216
1114,101.1098,0.6983,0.0178
1115,108.9282,0.6613,0.0197
1116,113.0641,0.7203,0.0126
1117,111.5245,0.6680,0.0301
1118,111.8482,0.5943,0.0180
1119,107.7529,0.5447,0.0239
1120,110.8980,0.5787,0.0341
1121,111.4199,0.6584,0.0227
1122,111.9459,0.7149,0.0133
1123,111.0368,0.6990,0.0258
1124,111.7160,0.7184,0.0165
1125,112.4859,0.6998,0.0218
1126,111.0719,0.5989,0.0211
1127,108.7833,0.7135,0.0147
1128,117.6232,0.6262,0.0142
1129,110.0622,0.6173,0.0238
1130,110.9205,0.7093,0.0180
1131,119.5098,0.7042,0.0153
1132,114.6729,0.7275,0.0206
1133,108.7386,0.7250,0.0160
1134,112.9596,0.6295,0.0365
1135,116.2959,0.7129,0.0152
1136,109.0915,0.6949,0.0247
1137,116.6041,0.5620,0.0154
1138,112.4006,0.5338,0.0261
1139,114.4988,0.6584,0.0255
1140,114.2662,0.7135,0.0265
1141,105.1771,0.6478,0.0149
1142,115.0061,0.7248,0.0159
1143,115.9620,0.7032,0.0221
1144,116.1253,0.7063,0.0181
1145,115.1216,0.5560,0.0161
1146,111.2792,0.6465,0.0150
1147,113.6992,0.5689,0.0153
1148,114.1519,0.5476,0.0193
1149,111.4977,0.7029,0.0263
1150,107.7040,0.6586,0.0210
1151,108.2774,0.7268,0.0186
1152,111.3544,0.5603,0.0260
1153,106.6257,0.6979,0.0214
1154,112.2632,0.6887,0.0257
1155,112.8787,0.6091,0.0173
1156,118.6057,0.7139,0.0242
1157,104.3897,0.6410,0.0231
1158,113.9772,0.6794,0.0147
1159,107.7356,0.6959,0.0163
1160,118.8843,0.7246,0.0150
1161,106.2348,0.6029,0.0326
1162,114.8811,0.6825,0.0239
1163,108.1881,0.6496,0.0171
1164,116.1336,0.5515,0.0203
1165,115.0158,0.6712,0.0201
1166,109.2953,0.7262,0.0133
1167,113.6376,0.6671,0.0168
1168,116.0090,0.6509,0.0157
1169,113.0279,0.7283,0.0241
1170,114.2072,0.7102,0.0137
1171,115.0586,0.5957,0.0167
1172,115.4860,0.6616,0.0313
1173,110.5120,0.7270,0.0209
1174,113.6633,0.7249,0.0182
1175,116.9467,0.6937,0.0180
1176,116.4687,0.7219,0.0126
1177,114.8552,0.7161,0.0141
1178,112.3370,0.6641,0.0156
1179,111.3623,0.7263,0.0201
1180,104.8802,0.7196,0.0196
1181,112.7975,0.7262,0.0124
1182,116.7067,0.7247,0.0142
1183,109.9851,0.5955,0.0392
1184,113.8908,0.6838,0.0296
1185,112.4055,0.7029,0.0261
1186,116.9696,0.7128,0.0129
1187,114.6680,0.7246,0.0162
1188,115.1902,0.6799,0.0250
1189,112.0753,0.5252,0.0309
1190,113.4291,0.6974,0.0225
1191,115.3534,0.6512,0.0190
1192,110.9418,0.7275,0.0221
1193,105.5937,0.5867,0.0216
1194,112.5259,0.7196,0.0164
1195,112.8697,0.6339,0.0284
1196,107.8201,0.7188,0.0246
1197,113.3779,0.5817,0.0232
1198,114.4798,0.6998,0.0240
1199,112.2652,0.6852,0.0254
1200,109.2408,0.6396,0.0219
1201,114.5322,0.7267,0.0180
1202,118.2855,0.5497,0.0439
1203,118.3801,0.7201,0.0134
1204,114.7248,0.7201,0.0169
1205,110.0325,0.7245,0.0141
1206,111.2338,0.6459,0.0152
1207,107.8466,0.7056,0.0226
1208,114.6433,0.6691,0.0319
1209,116.6522,0.6964,0.0167
1210,114.2408,0.7263,0.0158
1211,108.1347,0.7116,0.0271
1212,113.1460,0.5379,0.0180
1213,103.6138,0.7155,0.0191
1214,112.5295,0.6521,0.0290
1215,116.2241,0.7203,0.0186
1216,112.9027,0.6754,0.0179
1217,109.9659,0.6522,0.0242
1218,114.6564,0.5960,0.0240
1219,118.8458,0.5471,0.0274
1220,107.3758,0.6281,0.0191
1221,103.8207,0.7255,0.0147
1222,112.6103,0.7181,0.0139
1223,109.5949,0.7135,0.0169
1224,110.8799,0.7227,0.0142
1225,104.9241,0.7161,0.0255
1226,111.2502,0.6063,0.0157
1227,115.9032,0.7191,0.0183
1228,111.5592,0.6904,0.0259
1229,118.4252,0.5872,0.0162
1230,112.9511,0.7032,0.0188
1231,119.0019,0.7131,0.0261
1232,109.1665,0.7262,0.0157
1233,112.1735,0.7183,0.0161
1234,108.5335,0.7246,0.0152
1235,117.7391,0.7210,0.0229
1236,107.5618,0.6423,0.0237
1237,110.6563,0.5397,0.0293
1238,112.6937,0.6968,0.0210
1239,114.7209,0.7040,0.0207
1240,107.8459,0.5832,0.0262
1241,109.6885,0.7271,0.0131
1242,116.5377,0.7149,0.0148
1243,104.2047,0.5734,0.0155
1244,113.5328,0.5364,0.0279
1245,115.4885,0.7177,0.0145
1246,108.8525,0.7140,0.0155
1247,115.0988,0.6116,0.0317
1248,115.9871,0.7251,0.0161
1249,112.2385,0.6405,0.0274
1250,116.1103,0.7207,0.0194
1251,108.1040,0.6100,0.0186
1252,114.6038,0.7213,0.0236
1253,106.4596,0.6955,0.0279
1254,109.5535,0.6618,0.0137
1255,108.3030,0.5361,0.0176
1256,108.7349,0.6797,0.0195
1257,114.5691,0.6758,0.0159
1258,118.3928,0.6469,0.0298
1259,118.8397,0.6299,0.0171
1260,107.0452,0.6778,0.0256
1261,106.7139,0.7256,0.0190
1262,108.3207,0.7287,0.0215
1263,113.6664,0.7115,0.0280
1264,108.3050,0.6139,0.0351
1265,106.0401,0.6759,0.0290
1266,107.8105,0.7104,0.0158
1267,111.9339,0.6951,0.0196
1268,112.2738,0.6769,0.0163
1269,113.1095,0.5737,0.0200
1270,118.2807,0.5298,0.0163
1271,110.6365,0.6680,0.0176
1272,108.7999,0.7231,0.0128
1273,103.8460,0.5412,0.0331
1274,105.4433,0.7256,0.0192
1275,111.0515,0.7247,0.0146
1276,114.7182,0.5705,0.0153
1277,111.2750,0.5841,0.0158
1278,110.3182,0.7195,0.0162
1279,111.1163,0.6973,0.0276
1280,114.7420,0.5817,0.0158
1281,114.7355,0.7287,0.0159
1282,111.1695,0.5533,0.0217
1283,115.9556,0.7279,0.0143
1284,104.0106,0.5766,0.0163
1285,108.8237,0.7186,0.0155
1286,110.0803,0.6588,0.0160
1287,111.4922,0.7029,0.0143
1288,114.3801,0.7066,0.0135
1289,113.4770,0.5239,0.0468
1290,105.4575,0.6850,0.0186
1291,110.0457,0.6572,0.0267
1292,116.8626,0.6050,0.0162
1293,116.1651,0.6401,0.0326
1294,108.8669,0.6257,0.0312
1295,111.7365,0.5742,0.0236
1296,104.5011,0.5458,0.0220
1297,115.8456,0.7188,0.0139
1298,103.3068,0.7202,0.0155
1299,108.4730,0.5364,0.0291
1300,112.3482,0.6798,0.0150
1301,119.1419,0.5561,0.0212
1302,116.2870,0.6748,0.0174
1303,118.9222,0.7284,0.0127
1304,115.2883,0.6917,0.0235
1305,105.6056,0.6605,0.0138
1306,114.7057,0.6383,0.0153
1307,109.9945,0.6719,0.0160
1308,117.4106,0.6949,0.0255
1309,108.8621,0.6092,0.0198
1310,107.5198,0.6792,0.0192
1311,114.9386,0.7130,0.0142
1312,106.6659,0.5729,0.0236
1313,113.4353,0.6872,0.0181
1314,116.5263,0.7264,0.0124
1315,109.4170,0.6517,0.0202
1316,112.4941,0.7108,0.0141
1317,113.7700,0.7068,0.0275
1318,104.7035,0.5956,0.0357
1319,112.3928,0.7277,0.0158
1320,110.5238,0.7002,0.0194
1321,108.6980,0.7244,0.0218
1322,113.4230,0.7115,0.0256
1323,105.7196,0.7227,0.0196
1324,116.0928,0.7205,0.0222
1325,116.5496,0.6735,0.0147
1326,114.2090,0.7211,0.0165
1327,116.6412,0.6196,0.0183
1328,112.4257,0.5231,0.0249
1329,111.2830,0.6941,0.0246
1330,117.4216,0.7262,0.0267
1331,114.5658,0.6915,0.0189
1332,113.3151,0.5455,0.0165
1333,106.3050,0.6323,0.0197
1334,118.0953,0.5193,0.0179
1335,108.2674,0.6205,0.0149
1336,109.4058,0.7264,0.0189
1337,108.6056,0.6957,0.0148
1338,114.9061,0.7001,0.0274
1339,117.2821,0.6434,0.0335
1340,107.0426,0.7252,0.0135
1341,103.7872,0.6518,0.0275
1342,101.8817,0.7150,0.0215
1343,111.4527,0.6414,0.0280
1344,110.4511,0.6160,0.0351
1345,107.8499,0.5858,0.0350
1346,114.7530,0.7273,0.0143
1347,112.4620,0.6192,0.0272
1348,111.5523,0.7207,0.0275
1349,111.3937,0.5833,0.0374
1350,117.8116,0.7203,0.0208
1351,107.7395,0.6862,0.0160
1352,107.3248,0.5160,0.0533
1353,109.9184,0.5896,0.0188
1354,110.8911,0.6709,0.0210
1355,116.1134,0.6968,0.0280
1356,115.5536,0.7028,0.0132
1357,110.6833,0.7261,0.0127
1358,109.7999,0.7067,0.0212
1359,108.2184,0.7098,0.0219
1360,105.8099,0.6939,0.0276
1361,111.5714,0.7010,0.0251
1362,111.7855,0.6679,0.0156
1363,116.6422,0.7244,0.0125
1364,115.6656,0.6535,0.0182
1365,115.0603,0.6833,0.0135
1366,111.1430,0.5433,0.0286
1367,111.8972,0.5652,0.0169
1368,106.3299,0.7024,0.0177
1369,110.7531,0.7242,0.0216
1370,113.3397,0.6016,0.0176
1371,114.5908,0.6721,0.0186
1372,110.3618,0.6938,0.0162
1373,115.7882,0.6549,0.0204
1374,117.2674,0.7263,0.0186
1375,109.7147,0.5866,0.0258
1376,106.8302,0.5561,0.0290
1377,115.6660,0.6601,0.0137
1378,111.7186,0.6789,0.0164
1379,107.2721,0.5695,0.0279
1380,102.0405,0.6445,0.0162
1381,112.9655,0.7221,0.0131
1382,116.6967,0.6487,0.0192
1383,116.1391,0.7032,0.0254
1384,107.1025,0.5669,0.0266
1385,111.3502,0.6802,0.0179
1386,113.2283,0.6328,0.0265
1387,107.9726,0.7250,0.0248
1388,111.2658,0.6895,0.0191
1389,119.1895,0.7236,0.0143
1390,111.8698,0.7207,0.0231
1391,115.8930,0.6891,0.0151
1392,108.4080,0.5483,0.0173
1393,117.1758,0.7291,0.0134
1394,106.5777,0.5135,0.0223
1395,112.2911,0.6724,0.0205
1396,107.4186,0.6654,0.0316
1397,106.2750,0.7288,0.0179
1398,113.9121,0.6395,0.0163
1399,114.6306,0.6978,0.0168
1400,112.8247,0.6570,0.0217
1401,111.8722,0.7214,0.0131
1402,106.4282,0.6770,0.0151
1403,118.9542,0.7269,0.0268
1404,103.5202,0.7190,0.0199
1405,103.9962,0.7245,0.0224
1406,110.3402,0.6496,0.0173
1407,115.8035,0.7267,0.0136
1408,117.1837,0.5934,0.0163
1409,115.9957,0.7278,0.0124
1410,105.2171,0.7074,0.0167
1411,114.4655,0.6004,0.0239
1412,115.9694,0.6692,0.0182
1413,113.3170,0.7251,0.0234
1414,108.8356,0.5976,0.0161
1415,115.1296,0.7089,0.0166
1416,113.5555,0.7208,0.0176
1417,117.4126,0.7224,0.0126
1418,104.3780,0.7100,0.0185
1419,114.3014,0.6510,0.0224
1420,115.8847,0.6556,0.0155
1421,110.6998,0.7020,0.0188
1422,117.6254,0.7129,0.0223
1423,113.9374,0.6551,0.0147
1424,103.5315,0.6799,0.0157
1425,113.7444,0.7255,0.0143
1426,115.5148,0.6870,0.0281
1427,109.8183,0.7183,0.0199
1428,117.3710,0.6976,0.0213
1429,112.7043,0.6969,0.0200
1430,108.5558,0.6602,0.0191
1431,113.8547,0.6978,0.0179
1432,108.9883,0.5974,0.0186
1433,108.4498,0.6735,0.0180
1434,114.4402,0.7235,0.0143
1435,113.5102,0.6170,0.0241
1436,115.0940,0.6599,0.0246
1437,116.0088,0.5378,0.0300
1438,109.2984,0.6849,0.0213
1439,116.1847,0.6682,0.0303
1440,110.3832,0.6350,0.0151
1441,113.4017,0.6687,0.0277
1442,112.1391,0.7258,0.0217
1443,111.8117,0.6960,0.0256
1444,116.3962,0.6467,0.0175
1445,108.9398,0.7198,0.0204
1446,101.3299,0.7267,0.0143
1447,109.7327,0.6555,0.0213
1448,110.2938,0.6213,0.0205
1449,112.5898,0.5303,0.0220
1450,116.9354,0.7282,0.0152
1451,110.2612,0.7076,0.0165
1452,108.7037,0.5529,0.0244
1453,108.6476,0.6749,0.0173
1454,111.0482,0.7141,0.0169
1455,112.8368,0.7283,0.0260
1456,112.9209,0.6431,0.0244
1457,105.7761,0.5953,0.0220
1458,110.6107,0.7109,0.0237
1459,105.3705,0.6881,0.0138
1460,109.7787,0.5530,0.0250
1461,104.7878,0.6955,0.0168
1462,110.5167,0.6542,0.0307
1463,111.1014,0.6835,0.0156
1464,118.5625,0.6375,0.0142
1465,117.4233,0.5388,0.0165
1466,111.0650,0.7278,0.0142
1467,111.2195,0.6250,0.0239
1468,105.7094,0.5810,0.0261
1469,112.1952,0.7195,0.0149
1470,107.4333,0.6785,0.0204
1471,113.6798,0.7245,0.0163
1472,116.2953,0.6449,0.0220
1473,116.4943,0.7011,0.0208
1474,114.4498,0.5436,0.0268
1475,109.7986,0.5365,0.0292
1476,106.7388,0.6991,0.0218
1477,112.4662,0.5676,0.0346
1478,112.1766,0.6715,0.0226
1479,114.5018,0.6307,0.0188
1480,110.0568,0.6880,0.0194
1481,115.4140,0.7150,0.0259
1482,115.5113,0.6630,0.0140
1483,110.7869,0.7155,0.0146
1484,113.0732,0.6687,0.0158
1485,113.7177,0.5498,0.0277
1486,110.4413,0.6223,0.0322
1487,114.9114,0.6315,0.0259
1488,112.0491,0.6249,0.0290
1489,118.4157,0.7144,0.0205
1490,112.5665,0.5920,0.0155
1491,106.8067,0.6785,0.0194
1492,101.0229,0.6986,0.0194
1493,115.8319,0.6819,0.0172
1494,109.0197,0.7261,0.0140
1495,109.4900,0.6956,0.0136
1496,110.3426,0.7269,0.0221
1497,110.0299,0.7252,0.0249
1498,109.1061,0.7203,0.0175
1499,106.4736,0.7060,0.0166
1500,107.0420,0.7252,0.0143
1501,108.5173,0.6162,0.0355
1502,112.6118,0.5976,0.0150
1503,108.5417,0.6346,0.0180
1504,111.6579,0.6451,0.0209
1505,113.4372,0.7083,0.0181
1506,107.9680,0.6496,0.0186
1507,110.6135,0.7183,0.0217
1508,109.0878,0.6880,0.0148
1509,113.0756,0.7173,0.0192
1510,117.2518,0.5576,0.0328
1511,104.6806,0.7167,0.0169
1512,112.2937,0.7153,0.0206
1513,116.0959,0.6131,0.0171
1514,109.8101,0.6586,0.0292
1515,111.3125,0.6974,0.0225
1516,107.8939,0.6362,0.0244
1517,111.7914,0.6104,0.0173
1518,107.4971,0.6975,0.0153
1519,114.3844,0.6507,0.0267
1520,107.0779,0.7216,0.0173
1521,116.3877,0.6695,0.0177
1522,110.1314,0.7089,0.0232
1523,111.4561,0.6479,0.0181
1524,112.1421,0.5411,0.0233
1525,117.2965,0.6725,0.0229
1526,116.1393,0.6826,0.0156
1527,103.9233,0.7146,0.0278
1528,112.2354,0.6380,0.0225
1529,113.5392,0.7156,0.0218
1530,110.5943,0.7256,0.0142
1531,106.5873,0.5603,0.0257
1532,119.0387,0.7077,0.0140
1533,109.1813,0.6200,0.0216
1534,117.3821,0.7271,0.0218
1535,116.1072,0.5775,0.0164
1536,104.7607,0.5740,0.0313
1537,115.7410,0.6292,0.0181
1538,111.5375,0.7113,0.0147
1539,112.5377,0.7217,0.0182
1540,112.0072,0.7244,0.0209
1541,103.9400,0.7205,0.0148
1542,106.2143,0.6276,0.0280
1543,113.4992,0.7092,0.0174
1544,107.2921,0.6110,0.0349
1545,115.7340,0.6999,0.0136
1546,116.1294,0.7093,0.0238
1547,104.7330,0.6678,0.0176
1548,106.8213,0.6743,0.0201
1549,114.2131,0.6552,0.0216
1550,116.0010,0.7235,0.0230
1551,109.6672,0.7185,0.0204
1552,115.5430,0.7045,0.0195
1553,116.3585,0.6915,0.0250
1554,108.6290,0.7247,0.0150
1555,105.9317,0.6108,0.0148
1556,113.3245,0.6354,0.0321
1557,112.6929,0.6714,0.0304
1558,111.1182,0.5590,0.0311
1559,115.2678,0.6854,0.0241
1560,113.8375,0.7210,0.0145
1561,115.3246,0.6958,0.0176
1562,117.5291,0.7226,0.0126
1563,111.5940,0.7183,0.0140
1564,113.7082,0.6694,0.0242
1565,105.9155,0.7076,0.0278
1566,112.8361,0.7108,0.0144
1567,112.9372,0.6752,0.0230
1568,110.6698,0.7001,0.0135
1569,107.4423,0.6583,0.0277
1570,114.9074,0.7270,0.0142
1571,117.0278,0.6778,0.0277
1572,110.1993,0.7261,0.0252
1573,116.9091,0.7198,0.0183
1574,113.9723,0.7218,0.0129
1575,105.7610,0.7215,0.0226
1576,114.8194,0.6599,0.0165
1577,105.7398,0.6850,0.0244
1578,111.6408,0.6550,0.0246
1579,114.4361,0.6464,0.0146
1580,115.6527,0.5463,0.0355
1581,105.7134,0.5512,0.0317
1582,115.3114,0.7075,0.0145
1583,111.7728,0.7195,0.0174
1584,108.0496,0.7185,0.0170
1585,110.7592,0.7070,0.0161
1586,116.9421,0.5653,0.0350
1587,109.7395,0.7183,0.0130
1588,118.4444,0.7234,0.0149
1589,111.7890,0.7162,0.0153
1590,119.2429,0.6704,0.0138
1591,112.0148,0.7286,0.0191
1592,116.6125,0.5343,0.0443
1593,109.5356,0.7190,0.0144
1594,108.1104,0.7246,0.0196
1595,111.0359,0.7206,0.0202
1596,105.4860,0.6992,0.0167
1597,111.4801,0.7002,0.0176
1598,114.7094,0.6584,0.0259
1599,117.6693,0.6047,0.0250
1600,113.1794,0.7046,0.0218
1601,112.6781,0.6843,0.0206
1602,107.1565,0.6502,0.0265
1603,106.6442,0.7090,0.0144
1604,115.1417,0.7260,0.0129
